id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
79163,95 Miles to Go,04/07/2006,,2203.0,,2203.0,2006-04-07,2006.0,4.0,True,False,True,Revenue Only
336455,Viral,18-02-2016,0,551760.0,,551760.0,2016-02-18,2016.0,2.0,True,False,True,Revenue Only
65626,Lift,2006-07-01,0,123182.0,,123182.0,2006-07-01,2006.0,7.0,True,False,True,Revenue Only
213681,Masterminds,29-09-2016,0,29200000.0,,29200000.0,2016-09-29,2016.0,9.0,True,False,True,Revenue Only
296524,Deepwater Horizon,09/29/2016,,121790373.0,,121790373.0,2016-09-29,2016.0,9.0,True,False,True,Revenue Only
302946,The Accountant,10/14/2016,0,155160045.0,,155160045.0,2016-10-14,2016.0,10.0,True,False,True,Revenue Only
382399,High Strung,04/08/2016,0,53447.0,,53447.0,2016-04-08,2016.0,4.0,True,False,True,Revenue Only
340485,American Honey,30-09-2016,0,1751330.0,,1751330.0,2016-09-30,2016.0,9.0,True,False,True,Revenue Only
374617,Imperium,08/19/2016,0,35000.0,,35000.0,2016-08-19,2016.0,8.0,True,False,True,Revenue Only
372058,Your Name.,2016-08-26,0,355298270.0,,355298270.0,2016-08-26,2016.0,8.0,True,False,True,Revenue Only
110669,Wabash Avenue,31-03-1950,,2039000.0,,2039000.0,1950-03-31,1950.0,3.0,True,False,True,Revenue Only
381691,Maheshinte Prathikaaram,05-02-2016,,230000.0,,230000.0,2016-05-02,2016.0,5.0,True,False,True,Revenue Only
147767,Khiladi 786,07-12-2012,0,126.0,,126.0,2012-07-12,2012.0,7.0,True,False,True,Revenue Only
340487,Certain Women,2016-09-25,,1130466.0,,1130466.0,2016-09-25,2016.0,9.0,True,False,True,Revenue Only
413430,Miesten välisiä keskusteluja,01/04/2013,0,3.0,,3.0,2013-01-04,2013.0,1.0,True,False,True,Revenue Only
347033,Equity,2016-07-29,0,1605463.0,,1605463.0,2016-07-29,2016.0,7.0,True,False,True,Revenue Only
371449,Other People,09-09-2016,0,93000.0,,93000.0,2016-09-09,2016.0,9.0,True,False,True,Revenue Only
65839,It Doesn't Hurt Me,2006-06-08,0,1110566.0,,1110566.0,2006-06-08,2006.0,6.0,True,False,True,Revenue Only
325346,The Hollars,25-08-2016,0,1016985.0,,1016985.0,2016-08-25,2016.0,8.0,True,False,True,Revenue Only
63762,Broken Hill,2009-09-11,0,54058.0,,54058.0,2009-09-11,2009.0,9.0,True,False,True,Revenue Only
258230,A Monster Calls,10/07/2016,,46652768.0,,46652768.0,2016-10-07,2016.0,10.0,True,False,True,Revenue Only
411268,Line Walker,08/11/2016,0,88658655.0,,88658655.0,2016-08-11,2016.0,8.0,True,False,True,Revenue Only
68044,Paperback Hero,1999-03-25,0,1369280.0,,1369280.0,1999-03-25,1999.0,3.0,True,False,True,Revenue Only
339967,Colossal,2017-04-06,0,3021345.0,,3021345.0,2017-04-06,2017.0,4.0,True,False,True,Revenue Only
41281,Moondance Alexander,2007-04-22,0,37895.0,,37895.0,2007-04-22,2007.0,4.0,True,False,True,Revenue Only
375315,The Salesman,06/24/2016,0,2402067.0,,2402067.0,2016-06-24,2016.0,6.0,True,False,True,Revenue Only
301334,Una,09/14/2016,0,23275.0,,23275.0,2016-09-14,2016.0,9.0,True,False,True,Revenue Only
81463,Mad Foxes,01/01/1981,0,161362.0,,161362.0,1981-01-01,1981.0,1.0,True,False,True,Revenue Only
412924,Supersonic,02-10-2016,0,226286.0,,226286.0,2016-02-10,2016.0,2.0,True,False,True,Revenue Only
316021,Frank & Lola,09-12-2016,0,9188.0,,9188.0,2016-09-12,2016.0,9.0,True,False,True,Revenue Only
291356,In a Valley of Violence,21-10-2016,0,53647.0,,53647.0,2016-10-21,2016.0,10.0,True,False,True,Revenue Only
334543,Lion,11/24/2016,0,140302754.0,,140302754.0,2016-11-24,2016.0,11.0,True,False,True,Revenue Only
415214,Operation Mekong,09/30/2016,0,173000000.0,,173000000.0,2016-09-30,2016.0,9.0,True,False,True,Revenue Only
397243,The Autopsy of Jane Doe,2016-12-21,0,5972942.0,,5972942.0,2016-12-21,2016.0,12.0,True,False,True,Revenue Only
27953,Kabadayı,12/14/2007,0,10161213.0,,10161213.0,2007-12-14,2007.0,12.0,True,False,True,Revenue Only
353728,Closet Monster,2016-07-15,0,33962.0,,33962.0,2016-07-15,2016.0,7.0,True,False,True,Revenue Only
355065,The People vs. Fritz Bauer,2015-09-13,0,148461.0,,148461.0,2015-09-13,2015.0,9.0,True,False,True,Revenue Only
